Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
JESPER BRATTF,JESPER BRATT,F,mistake,N.J,0.026850945,1.281418240,1075.85,-0.331074432,2.148736378,0.481923652,0.201590759,201.6,0.327366126,20212022,0,2.383333333,0.000302363,0.455072708,1279.833333333,4.110263086
TIMO MEIERF,TIMO MEIER,F,mistake,S.J,0.078698159,0.290586429,1217.15,0.171461552,2.071166510,0.088041773,1.184569155,200.45,0.237479238,20212022,0,3.95,-0.001029579,0.009343614,1421.55,4.042275077
ELIAS PETTERSSONF,ELIAS PETTERSSON,F,mistake,VAN,0.356023847,0.933666519,1137.85,-0.522167264,0.843232494,0.975256539,0.800084104,250.75,0.872513154,20212022,0.022639318,50.183333333,0.066194599,0.619232693,1438.783333333,3.991419463
WILLIAM NYLANDERF,WILLIAM NYLANDER,F,mistake,TOR,-0.375908930,0.929784123,1165.266666667,-0.178372185,1.188326384,0.125856209,0.810177589,241.766666667,1.121524800,20212022,-0.040050534,22.966666667,0.000663941,0.501765139,1430,3.957910327
ROOPE HINTZF,ROOPE HINTZ,F,mistake,DAL,-0.168459300,1.245660469,1100.133333333,-0.060112217,0.817631589,0.199539044,0.763519606,199.783333333,0.317820257,20212022,0.423546282,92.233333333,0.201049204,0.367998343,1392.150000000,3.908654234
TAGE THOMPSONF,TAGE THOMPSON,F,mistake,BUF,-0.157629533,2.272650386,1070.7,-0.540900098,0.696496905,0.216293772,0.998596344,200.316666667,0.070011884,20212022,0.143351436,64.800000000,0.042588264,0.373923305,1335.816666667,3.899088893
JOSH NORRISF,JOSH NORRIS,F,mistake,OTT,0.054114392,1.514422821,932.1,0.030082981,-0.086942467,0.454691182,1.364884908,213.1,0.479462229,20212022,0,37.45,-0.016805494,0.400576790,1182.65,3.739796159
JORDAN KYROUF,JORDAN KYROU,F,mistake,STL,0.313080314,1.908827272,1046.05,-0.311121743,0.747995365,0.680021562,0.331096287,140.233333333,0.220017554,20212022,0,3.283333333,0.000714030,0.366941248,1189.566666667,3.577550325
JACK HUGHESF,JACK HUGHES,F,mistake,N.J,0.117802839,1.319224542,778.733333333,0.061373006,0.774965990,0.632873843,0.583375449,137.900000000,0.195336925,20212022,0,1.9,0.000413303,0.515071003,918.533333333,3.567563058
SAM REINHARTF,SAM REINHART,F,mistake,FLA,-0.291090957,0.204515207,1033,0.376707121,0.798619401,0.310225317,1.509091738,256.9,0.395474495,20212022,-0.012245691,50.033333333,-0.068031559,0.601316274,1339.933333333,3.514356030
JARED MCCANNF,JARED MCCANN,F,mistake,SEA,0.177946989,1.512534121,929.966666667,-0.057363297,0.609205060,0.514289774,0.229951972,189.400000000,0.498772598,20212022,0.157260722,15.633333333,0.005687935,0.336342785,1135,3.470338885
ROMAN JOSID,ROMAN JOSI,D,mistake,NSH,0.189681276,0.685025064,1646.416666667,-0.265655412,1.233771289,0.290649060,1.359548740,269.033333333,0.270040652,20212022,-0.019561961,56.6,-0.089285735,0.100967784,1972.05,3.464531697
ALEX OVECHKINF,ALEX OVECHKIN,F,mistake,WSH,-0.416997833,1.751922729,1149.533333333,-0.916549508,0.527551051,0.128636941,1.090366006,357.866666667,0.692750241,20212022,0.150477333,0.833333333,3.713871249e-05,0.545634774,1508.233333333,3.425191931
VALERI NICHUSHKINF,VALERI NICHUSHKIN,F,mistake,COL,-0.107169309,0.709739637,885.216666667,0.425122736,1.152566579,0.265341756,0.417571559,139.983333333,-0.050362491,20212022,0.236932249,107.4,0.246367806,0.372511065,1132.6,3.403279832
ADAM FOXD,ADAM FOX,D,mistake,NYR,0.193102457,0.843019689,1415.766666667,0.391799766,1.136559388,0.681599682,-0.384612665,228.933333333,0.493411283,20212022,0.144240646,161.100000000,-0.029984037,0.488497225,1805.8,3.276033752
OLIVER BJORKSTRANDF,OLIVER BJORKSTRAND,F,mistake,CBJ,0.063172848,0.895439091,1130.783333333,0.618285019,0.589779111,0.611750905,0.256516777,243.85,0.310348746,20212022,-0.016069452,5.05,0.001368619,0.548578058,1379.683333333,3.267418817
