Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/360145/anton-lundellAnton Lundell2022,Anton Lundell,Florida Panthers,F,nhl,Florida Panthers,2022,2,19.95,15.37,55.51,96.69%,99.99%
https://www.eliteprospects.com/player/526239/shane-wrightShane Wright2022,Shane Wright,Unsigned,F,ohl,Kingston Frontenacs,2022,0,17.7,31.03,17.63,96.57%,99.15%
https://www.eliteprospects.com/player/326522/bowen-byramBowen Byram2022,Bowen Byram,Colorado Avalanche,D,nhl,Colorado Avalanche,2022,3,20.26,4.98,46.47,95.64%,99.77%
https://www.eliteprospects.com/player/559522/david-jiricekDavid Jiricek2022,David Jiricek,Unsigned,D,czech,HC Plzen,2022,0,17.8,12.16,18.13,88.48%,99.96%
https://www.eliteprospects.com/player/375501/matt-boldyMatt Boldy2022,Matt Boldy,Minnesota Wild,F,"ahl, nhl","Iowa Wild, Minnesota Wild",2022,3,20.45,12.16,61.71,86.66%,99.83%
https://www.eliteprospects.com/player/589605/simon-nemecSimon Nemec2022,Simon Nemec,Unsigned,D,slovakia,HK Nitra,2022,0,17.58,13.06,16.15,77.52%,99.91%
https://www.eliteprospects.com/player/201844/cole-sillingerCole Sillinger2022,Cole Sillinger,Columbus Blue Jackets,F,nhl,Columbus Blue Jackets,2022,1,18.34,12.79,32.18,74.44%,99.45%
https://www.eliteprospects.com/player/201952/seth-jarvisSeth Jarvis2022,Seth Jarvis,Carolina Hurricanes,F,nhl,Carolina Hurricanes,2022,2,19.62,7.41,48.24,73.55%,99.63%
https://www.eliteprospects.com/player/316168/cole-caufieldCole Caufield2022,Cole Caufield,Montreal Canadiens,F,"ahl, nhl","Laval Rocket, Montreal Canadiens",2022,3,20.7,12.76,50.49,62.35%,94.39%
https://www.eliteprospects.com/player/394719/william-eklundWilliam Eklund2022,William Eklund,San Jose Sharks,F,"nhl, shl","San Jose Sharks, Djurgardens IF",2022,1,18.93,7.11,25.72,60.83%,96.32%
https://www.eliteprospects.com/player/201940/cole-perfettiCole Perfetti2022,Cole Perfetti,Winnipeg Jets,F,"ahl, nhl","Manitoba Moose, Winnipeg Jets",2022,2,19.7,13.88,30.09,45.31%,96.03%
https://www.eliteprospects.com/player/336828/jack-quinnJack Quinn2022,Jack Quinn,Buffalo Sabres,F,ahl,Rochester Americans,2022,2,19.99,6.2,43.29,40.32%,98.02%
https://www.eliteprospects.com/player/526043/joakim-kemellJoakim Kemell2022,Joakim Kemell,Unsigned,F,"wjc-18, liiga","Finland U18, JYP",2022,0,17.39,6.19,20.93,37.84%,88.73%
https://www.eliteprospects.com/player/338571/janis-jerome-moserJanis Jerome Moser2022,Janis Jerome Moser,Unsigned,D,"ahl, nhl","Tucson Roadrunners, Arizona Coyotes",2022,4,21.28,0.49,26.45,35.37%,55.15%
https://www.eliteprospects.com/player/344808/alexander-holtzAlex Holtz2022,Alex Holtz,New Jersey Devils,F,"ahl, nhl","Utica Comets, New Jersey Devils",2022,2,19.64,9.55,29.39,34.57%,93.17%
https://www.eliteprospects.com/player/201739/matthew-beniersMatthew Beniers2022,Matthew Beniers,Unsigned,F,"ncaa, nhl","Univ. of Michigan, Seattle Kraken",2022,1,18.86,9.93,30.24,32.93%,95.89%
https://www.eliteprospects.com/player/603668/isaac-howardIsaac Howard2022,Isaac Howard,Unsigned,F,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.46,13.79,14.76,32.93%,69.17%
https://www.eliteprospects.com/player/476596/olen-zellwegerOlen Zellweger2022,Olen Zellweger,Anaheim Ducks,D,whl,Everett Silvertips,2022,1,18.02,2.4,16.43,32.40%,95.58%
https://www.eliteprospects.com/player/476028/matthew-savoieMatthew Savoie2022,Matthew Savoie,Unsigned,F,whl,Winnipeg Ice,2022,0,17.71,13.12,16.04,32.34%,63.83%
https://www.eliteprospects.com/player/320307/alex-newhookAlex Newhook2022,Alex Newhook,Colorado Avalanche,F,"ahl, nhl","Colorado Eagles, Colorado Avalanche",2022,3,20.63,9.64,37.74,31.86%,93.47%
https://www.eliteprospects.com/player/503020/quinton-byfieldQuinton Byfield2022,Quinton Byfield,Los Angeles Kings,F,"ahl, nhl","Ontario Reign, Los Angeles Kings",2022,2,19.07,11.26,19.84,28.00%,94.67%
https://www.eliteprospects.com/player/320267/jordan-spenceJordan Spence2022,Jordan Spence,Los Angeles Kings,D,"ahl, nhl","Ontario Reign, Los Angeles Kings",2022,3,20.56,3.12,28.53,27.82%,36.90%
https://www.eliteprospects.com/player/336887/brandt-clarkeBrandt Clarke2022,Brandt Clarke,Los Angeles Kings,D,ohl,Barrie Colts,2022,1,18.6,7.88,12.67,27.50%,92.61%
https://www.eliteprospects.com/player/479812/mason-mctavishMason Mctavish2022,Mason Mctavish,Anaheim Ducks,F,"ohl, nhl","totals, Anaheim Ducks",2022,1,18.63,8.7,21.08,26.27%,85.69%
https://www.eliteprospects.com/player/476538/dylan-guentherDylan Guenther2022,Dylan Guenther,Arizona Coyotes,F,whl,Edmonton Oil Kings,2022,1,18.43,11.78,17.87,24.54%,82.16%
https://www.eliteprospects.com/player/519772/arseni-gritsyukArseni Gritsyuk2022,Arseni Gritsyuk,New Jersey Devils,F,khl,Avangard Omsk,2022,3,20.5,7.43,45.43,24.03%,80.52%
https://www.eliteprospects.com/player/314906/linus-karlssonLinus Karlsson2022,Linus Karlsson,Vancouver Canucks,F,shl,Skelleftea AIK,2022,4,21.83,4.4,41.04,23.25%,84.67%
https://www.eliteprospects.com/player/462501/matthew-coronatoMatthew Coronato2022,Matthew Coronato,Unsigned,F,ncaa,Harvard Univ.,2022,1,18.84,10.43,16.82,22.54%,55.42%
https://www.eliteprospects.com/player/428795/ville-heinolaVille Heinola2022,Ville Heinola,Winnipeg Jets,D,"ahl, nhl","Manitoba Moose, Winnipeg Jets",2022,3,20.54,3.76,23.4,22.21%,95.27%
https://www.eliteprospects.com/player/651538/logan-cooleyLogan Cooley2022,Logan Cooley,Unsigned,F,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.37,10.24,15.8,21.46%,62.90%
https://www.eliteprospects.com/player/418531/philip-tomasinoPhilip Tomasino2022,Philip Tomasino,Nashville Predators,F,nhl,Nashville Predators,2022,3,20.13,4.65,34.53,20.68%,95.70%
https://www.eliteprospects.com/player/311766/jack-rathboneJack Rathbone2022,Jack Rathbone,Vancouver Canucks,D,"ahl, nhl","Abbotsford Canucks, Vancouver Canucks",2022,5,22.32,2.09,26.61,19.67%,73.99%
https://www.eliteprospects.com/player/516605/kevin-korchinskiKevin Korchinski2022,Kevin Korchinski,Unsigned,D,whl,Seattle Thunderbirds,2022,0,17.24,5.04,11.24,19.66%,87.30%
https://www.eliteprospects.com/player/504240/owen-powerOwen Power2022,Owen Power,Buffalo Sabres,D,"ncaa, nhl","Univ. of Michigan, Buffalo Sabres",2022,1,18.81,10.43,18.4,18.13%,99.83%
https://www.eliteprospects.com/player/620329/kirill-dolzhenkovKirill Dolzhenkov2022,Kirill Dolzhenkov,Unsigned,F,mhl,Krasnaya Armiya Moskva,2022,0,17.4,8.66,9.98,17.70%,74.04%
https://www.eliteprospects.com/player/574819/frank-nazarFrank Nazar2022,Frank Nazar,Unsigned,F,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.67,12.82,14.04,17.58%,45.88%
https://www.eliteprospects.com/player/521697/kent-johnsonKent Johnson2022,Kent Johnson,Columbus Blue Jackets,F,"ncaa, nhl","Univ. of Michigan, Columbus Blue Jackets",2022,1,18.91,12.76,20.34,17.47%,68.26%
https://www.eliteprospects.com/player/316114/arthur-kaliyevArthur Kaliyev2022,Arthur Kaliyev,Los Angeles Kings,F,nhl,Los Angeles Kings,2022,3,20.22,8.34,27.68,17.08%,92.34%
https://www.eliteprospects.com/player/527467/nikita-chibrikovNikita Chibrikov2022,Nikita Chibrikov,Winnipeg Jets,F,vhl,SKA-Neva St. Petersburg,2022,1,18.58,5.88,29.8,16.91%,89.29%
https://www.eliteprospects.com/player/526095/rutger-mcgroartyRutger Mcgroarty2022,Rutger Mcgroarty,Unsigned,F,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.46,7.17,13.81,16.88%,59.70%
https://www.eliteprospects.com/player/556512/logan-stankovenLogan Stankoven2022,Logan Stankoven,Dallas Stars,F,whl,Kamloops Blazers,2022,1,18.55,9.42,20.42,16.88%,55.92%
https://www.eliteprospects.com/player/381855/john-peterkaJohn Peterka2022,John Peterka,Buffalo Sabres,F,"ahl, czech u18","Rochester Americans, RB Hockey Akademie U18",2022,2,19.67,9.43,25.42,16.88%,81.81%
https://www.eliteprospects.com/player/379749/vitali-kravtsovVitali Kravtsov2022,Vitali Kravtsov,New York Rangers,F,khl,Traktor Chelyabinsk,2022,4,21.73,11.3,43.3,16.60%,90.77%
https://www.eliteprospects.com/player/571034/conor-geekieConor Geekie2022,Conor Geekie,Unsigned,F,whl,Winnipeg Ice,2022,0,17.36,8.53,12.87,16.59%,72.73%
https://www.eliteprospects.com/player/570931/denton-mateychukDenton Mateychuk2022,Denton Mateychuk,Unsigned,D,whl,Moose Jaw Warriors,2022,0,17.18,4.82,11.41,16.27%,83.86%
https://www.eliteprospects.com/player/418243/jacob-perreaultJacob Perreault2022,Jacob Perreault,Anaheim Ducks,F,ahl,San Diego Gulls,2022,2,19.42,10.31,21.48,16.07%,72.90%
https://www.eliteprospects.com/player/693396/fyodor-svechkovFyodor Svechkov2022,Fyodor Svechkov,Nashville Predators,F,vhl,SKA-Neva St. Petersburg,2022,1,18.45,2.94,27.81,14.63%,91.45%
https://www.eliteprospects.com/player/526255/ivan-miroshnichenkoIvan Miroshnichenko2022,Ivan Miroshnichenko,Unsigned,F,vhl,Omskie Krylia,2022,0,17.61,9.82,13.89,13.97%,53.91%
https://www.eliteprospects.com/player/467384/aatu-ratyAatu Raty2022,Aatu Raty,New York Islanders,F,liiga,totals,2022,1,18.84,7.23,31.56,13.73%,93.15%
https://www.eliteprospects.com/player/512165/sasha-pastujovSasha Pastujov2022,Sasha Pastujov,Anaheim Ducks,F,ohl,Guelph Storm,2022,1,18.17,10.29,13.81,13.65%,57.36%
https://www.eliteprospects.com/player/375953/matias-maccelliMatias Maccelli2022,Matias Maccelli,Arizona Coyotes,F,"ahl, nhl","Tucson Roadrunners, Arizona Coyotes",2022,3,20.92,6.44,33.03,13.26%,83.96%
https://www.eliteprospects.com/player/526979/luke-hughesLuke Hughes2022,Luke Hughes,New Jersey Devils,D,ncaa,Univ. of Michigan,2022,1,18.02,5.68,15.11,12.83%,96.09%
https://www.eliteprospects.com/player/322178/peyton-krebsPeyton Krebs2022,Peyton Krebs,Buffalo Sabres,F,"ahl, nhl","totals, totals",2022,3,20.64,9.34,31.72,12.45%,78.92%
https://www.eliteprospects.com/player/292083/matthew-kniesMatthew Knies2022,Matthew Knies,Toronto Maple Leafs,F,ncaa,Univ. of Minnesota,2022,1,18.91,12,15.89,11.84%,52.24%
https://www.eliteprospects.com/player/278861/calen-addisonCalen Addison2022,Calen Addison,Minnesota Wild,D,"ahl, nhl","Iowa Wild, Minnesota Wild",2022,4,21.43,6.07,24.37,11.31%,77.25%
https://www.eliteprospects.com/player/527453/pavel-mintyukovPavel Mintyukov2022,Pavel Mintyukov,Unsigned,D,ohl,Saginaw Spirit,2022,0,17.81,,10.93,10.85%,77.21%
https://www.eliteprospects.com/player/475841/corson-ceulemansCorson Ceulemans2022,Corson Ceulemans,Columbus Blue Jackets,D,ncaa,Univ. of Wisconsin,2022,1,18.37,4.07,10.28,10.67%,73.58%
https://www.eliteprospects.com/player/526094/cutter-gauthierCutter Gauthier2022,Cutter Gauthier,Unsigned,F,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.66,7.99,13.12,10.14%,52.15%
https://www.eliteprospects.com/player/392162/kirill-marchenkoKirill Marchenko2022,Kirill Marchenko,Columbus Blue Jackets,F,khl,SKA St. Petersburg,2022,4,21.15,8.63,32.45,10.13%,91.38%
https://www.eliteprospects.com/player/274796/jonatan-berggrenJonatan Berggren2022,Jonatan Berggren,Detroit Red Wings,F,ahl,Grand Rapids Griffins,2022,4,21.17,3.21,29.2,9.87%,85.33%
https://www.eliteprospects.com/player/392566/dmitri-rashevskyDmitri Rashevsky2022,Dmitri Rashevsky,Winnipeg Jets,F,khl,Dynamo Moskva,2022,3,20.93,7.14,46.14,9.86%,74.95%
https://www.eliteprospects.com/player/396897/ivan-d.-morozovIvan D. Morozov2022,Ivan D. Morozov,Vegas Golden Knights,F,"khl, vhl","totals, SKA-Neva St. Petersburg",2022,4,21.36,7.73,32.64,9.73%,82.40%
https://www.eliteprospects.com/player/465243/ilya-usovIlya Usov2022,Ilya Usov,Tampa Bay Lightning,F,khl,Dinamo Minsk,2022,3,20.12,1.87,41.13,9.55%,69.75%
https://www.eliteprospects.com/player/381687/lukas-reichelLukas Reichel2022,Lukas Reichel,Chicago Blackhawks,F,"ahl, nhl","Rockford IceHogs, Chicago Blackhawks",2022,2,19.33,2.55,28.39,9.33%,86.00%
https://www.eliteprospects.com/player/690807/gleb-trikozovGleb Trikozov2022,Gleb Trikozov,Unsigned,F,"mhl, vhl","Omskie Yastreby, Omskie Krylia",2022,0,17.09,7.19,12.68,8.99%,49.53%
https://www.eliteprospects.com/player/349991/albert-johanssonAlbert Johansson2022,Albert Johansson,Detroit Red Wings,D,shl,Farjestad BK,2022,3,20.7,2.3,22.3,8.75%,50.13%
https://www.eliteprospects.com/player/322111/dylan-hollowayDylan Holloway2022,Dylan Holloway,Edmonton Oilers,F,ahl,Bakersfield Condors,2022,2,19.98,8.25,21.29,8.32%,57.38%
https://www.eliteprospects.com/player/410525/jakob-pelletierJakob Pelletier2022,Jakob Pelletier,Calgary Flames,F,ahl,Stockton Heat,2022,3,20.53,9.38,30,8.15%,39.15%
https://www.eliteprospects.com/player/265859/pontus-holmbergPontus Holmberg2022,Pontus Holmberg,Toronto Maple Leafs,F,"ahl, shl","Toronto Marlies, Vaxjo Lakers HC",2022,5,22.52,2.57,39.04,8.12%,19.38%
https://www.eliteprospects.com/player/359539/nicholas-robertsonNicholas Robertson2022,Nicholas Robertson,Toronto Maple Leafs,F,"ahl, nhl","Toronto Marlies, Toronto Maple Leafs",2022,3,20.01,6.29,25.69,8.09%,73.75%
https://www.eliteprospects.com/player/526227/lane-hutsonLane Hutson2022,Lane Hutson,Unsigned,D,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.59,6.03,11.74,8.00%,43.51%
https://www.eliteprospects.com/player/512110/connor-kurthConnor Kurth2022,Connor Kurth,Unsigned,F,ushl,Dubuque Fighting Saints,2022,1,18.13,,15.33,7.83%,49.71%
https://www.eliteprospects.com/player/611825/jani-nymanJani Nyman2022,Jani Nyman,Unsigned,F,"wjc-18, liiga, mestis","Finland U18, Ilves, KOOVEE",2022,0,17.13,4.36,11.82,7.75%,53.06%
https://www.eliteprospects.com/player/364649/zac-jonesZac Jones2022,Zac Jones,New York Rangers,D,"ahl, nhl","Hartford Wolf Pack, New York Rangers",2022,3,20.91,4.35,20.03,7.55%,38.55%
https://www.eliteprospects.com/player/350706/elmer-soderblomElmer Soderblom2022,Elmer Soderblom,Detroit Red Wings,F,shl,Frolunda HC,2022,3,20.2,3.17,29.44,7.19%,85.00%
https://www.eliteprospects.com/player/499424/topi-niemelaTopi Niemela2022,Topi Niemela,Toronto Maple Leafs,D,liiga,Karpat,2022,2,19.48,1.7,24.12,7.10%,67.18%
https://www.eliteprospects.com/player/568363/jordan-dumaisJordan Dumais2022,Jordan Dumais,Unsigned,F,qmjhl,Halifax Mooseheads,2022,0,17.42,6.69,14.79,7.08%,28.50%
https://www.eliteprospects.com/player/197821/robin-saloRobin Salo2022,Robin Salo,New York Islanders,D,"ahl, nhl","Bridgeport Islanders, New York Islanders",2022,5,22.92,2.48,17.19,7.04%,19.04%
https://www.eliteprospects.com/player/295299/mavrik-bourqueMavrik Bourque2022,Mavrik Bourque,Dallas Stars,F,qmjhl,Shawinigan Cataractes,2022,2,19.69,7.78,20.24,7.03%,36.07%
https://www.eliteprospects.com/player/562220/david-goyetteDavid Goyette2022,David Goyette,Unsigned,F,ohl,Sudbury Wolves,2022,0,17.47,,13.07,6.98%,26.91%
https://www.eliteprospects.com/player/649220/jonathan-lekkerimakiJonathan Lekkerimaki2022,Jonathan Lekkerimaki,Unsigned,F,"wjc-18, shl, superelit","Sweden U18, Djurgardens IF, Djurgardens IF J20",2022,0,17.14,4.83,14.59,6.89%,40.32%
https://www.eliteprospects.com/player/339499/nikolai-kovalenkoNikolai Kovalenko2022,Nikolai Kovalenko,Colorado Avalanche,F,khl,Ak Bars Kazan,2022,4,21.91,4.7,30.55,6.66%,28.24%
https://www.eliteprospects.com/player/512106/chaz-luciusChaz Lucius2022,Chaz Lucius,Winnipeg Jets,F,ncaa,Univ. of Minnesota,2022,1,18.37,9.24,12.58,6.65%,29.34%
https://www.eliteprospects.com/player/496724/bobby-brinkBobby Brink2022,Bobby Brink,Philadelphia Flyers,F,"ncaa, nhl","Univ. of Denver, Philadelphia Flyers",2022,3,20.19,3.35,24.19,6.48%,22.70%
https://www.eliteprospects.com/player/391048/jake-neighboursJake Neighbours2022,Jake Neighbours,St. Louis Blues,F,"nhl, whl","St. Louis Blues, Edmonton Oil Kings",2022,2,19.47,5.92,17.57,6.48%,52.50%
https://www.eliteprospects.com/player/525669/luca-del-bel-belluzLuca Del Bel Belluz2022,Luca Del Bel Belluz,Unsigned,F,ohl,Mississauga Steelheads,2022,0,17.85,,13.2,6.35%,27.32%
https://www.eliteprospects.com/player/424496/connor-mcmichaelConnor Mcmichael2022,Connor Mcmichael,Washington Capitals,F,nhl,Washington Capitals,2022,3,20.67,3.15,21.71,6.22%,70.43%
https://www.eliteprospects.com/player/529809/fraser-mintenFraser Minten2022,Fraser Minten,Unsigned,F,whl,Kamloops Blazers,2022,0,17.2,10.43,9.51,6.15%,28.77%
https://www.eliteprospects.com/player/333786/ivan-chekhovichIvan Chekhovich2022,Ivan Chekhovich,Unsigned,F,khl,Torpedo Nizhny Novgorod,2022,5,22.7,3.26,30.27,6.13%,30.56%
https://www.eliteprospects.com/player/393444/noel-gunlerNoel Gunler2022,Noel Gunler,Carolina Hurricanes,F,"ahl, shl","Chicago Wolves, Brynas IF",2022,2,19.94,12.53,19.47,6.03%,48.33%
https://www.eliteprospects.com/player/290129/cameron-yorkCam York2022,Cam York,Philadelphia Flyers,D,"ahl, nhl","Lehigh Valley Phantoms, Philadelphia Flyers",2022,3,20.69,6.15,18.8,5.95%,27.54%
https://www.eliteprospects.com/player/351805/connor-zaryConnor Zary2022,Connor Zary,Calgary Flames,F,ahl,Stockton Heat,2022,2,19.97,12.2,15.06,5.90%,27.26%
https://www.eliteprospects.com/player/394730/simon-edvinssonSimon Edvinsson2022,Simon Edvinsson,Detroit Red Wings,D,shl,Frolunda HC,2022,1,18.61,3.71,20.03,5.89%,99.38%
https://www.eliteprospects.com/player/265608/fabian-zetterlundFabian Zetterlund2022,Fabian Zetterlund,New Jersey Devils,F,"ahl, nhl","Utica Comets, New Jersey Devils",2022,5,22.06,3.55,32.17,5.86%,33.12%
https://www.eliteprospects.com/player/595483/alexander-suvorovAlex Suvorov2022,Alex Suvorov,Unsigned,F,"khl, belarus","Dinamo Minsk, totals",2022,1,18.79,,14,5.78%,11.61%
https://www.eliteprospects.com/player/512832/vasili-podkolzinVasili Podkolzin2022,Vasili Podkolzin,Vancouver Canucks,F,nhl,Vancouver Canucks,2022,3,20.23,5.1,26.99,5.76%,64.75%
https://www.eliteprospects.com/player/341629/xavier-bourgaultXavier Bourgault2022,Xavier Bourgault,Edmonton Oilers,F,qmjhl,Shawinigan Cataractes,2022,1,18.9,10.4,16.09,5.64%,25.33%
https://www.eliteprospects.com/player/551335/jacob-guevinJacob Guevin2022,Jacob Guevin,Unsigned,D,ushl,Muskegon Lumberjacks,2022,1,18.66,2.71,11.34,5.56%,40.31%
https://www.eliteprospects.com/player/358893/stas-petrosyanStas Petrosyan2022,Stas Petrosyan,Unsigned,F,kazakhstan,totals,2022,4,21.95,9.21,21.2,5.56%,3.08%
https://www.eliteprospects.com/player/386329/sean-farrellSean Farrell2022,Sean Farrell,Montreal Canadiens,F,ncaa,Harvard Univ.,2022,2,19.87,6.3,18.54,5.53%,31.07%
https://www.eliteprospects.com/player/534236/roby-jarventieRoby Jarventie2022,Roby Jarventie,Ottawa Senators,F,ahl,Belleville Senators,2022,2,19.11,6.18,15.05,5.52%,59.42%
https://www.eliteprospects.com/player/296636/thomas-bordeleauThomas Bordeleau2022,Thomas Bordeleau,San Jose Sharks,F,"ncaa, nhl","Univ. of Michigan, San Jose Sharks",2022,2,19.7,7.18,22.17,5.50%,41.58%
https://www.eliteprospects.com/player/603794/ty-nelsonTy Nelson2022,Ty Nelson,Unsigned,D,ohl,North Bay Battalion,2022,0,17.46,,9.13,5.47%,53.57%
https://www.eliteprospects.com/player/419758/zachary-l-heureuxZachary L'Heureux2022,Zachary L'Heureux,Nashville Predators,F,qmjhl,Halifax Mooseheads,2022,1,18.34,8.89,11.23,5.42%,17.57%
https://www.eliteprospects.com/player/543203/grigori-kuzminGrigori Kuzmin2022,Grigori Kuzmin,Unsigned,F,"mhl, vhl","totals, SKA-Neva St. Petersburg",2022,1,18.4,6.12,17.49,5.39%,27.36%
https://www.eliteprospects.com/player/582653/christian-kyrouChristian Kyrou2022,Christian Kyrou,Unsigned,D,ohl,Erie Otters,2022,0,18,,10.42,5.33%,49.61%
https://www.eliteprospects.com/player/396656/juuso-parssinenJuuso Parssinen2022,Juuso Parssinen,Nashville Predators,F,liiga,TPS,2022,3,20.62,3.91,28.24,5.27%,68.03%
https://www.eliteprospects.com/player/483757/joshua-royJoshua Roy2022,Joshua Roy,Montreal Canadiens,F,qmjhl,Sherbrooke Phoenix,2022,1,18.11,6.77,16.64,5.21%,43.22%
https://www.eliteprospects.com/player/527429/servac-petrovskyServac Petrovsky2022,Servac Petrovsky,Unsigned,F,ohl,Owen Sound Attack,2022,0,17.1,10.33,9.81,5.13%,24.61%
https://www.eliteprospects.com/player/472146/victor-stjernborgVictor Stjernborg2022,Victor Stjernborg,Chicago Blackhawks,F,"shl, allsvenskan","Vaxjo Lakers HC, IF Troja-Ljungby",2022,1,18.32,4.03,18.62,5.09%,38.67%
https://www.eliteprospects.com/player/620321/artyom-dudaArtyom Duda2022,Artyom Duda,Unsigned,D,mhl,Krasnaya Armiya Moskva,2022,0,17.44,2.61,9.27,5.09%,34.66%
https://www.eliteprospects.com/player/413126/colton-dachColton Dach2022,Colton Dach,Chicago Blackhawks,F,whl,Kelowna Rockets,2022,1,18.7,5.42,15,5.09%,48.00%
https://www.eliteprospects.com/player/552045/marat-khusnutdinovMarat Khusnutdinov2022,Marat Khusnutdinov,Minnesota Wild,F,khl,SKA St. Petersburg,2022,2,19.17,5.42,23.73,5.05%,48.50%
https://www.eliteprospects.com/player/266319/rickard-huggRickard Hugg2022,Rickard Hugg,Unsigned,F,shl,Skelleftea AIK,2022,5,22.66,7.48,35.69,4.98%,10.32%
https://www.eliteprospects.com/player/462499/stephen-hallidayStephen Halliday2022,Stephen Halliday,Unsigned,F,ushl,Dubuque Fighting Saints,2022,2,19.21,7.25,17.98,4.97%,54.14%
https://www.eliteprospects.com/player/328238/filip-cederqvistFilip Cederqvist2022,Filip Cederqvist,Buffalo Sabres,F,shl,Djurgardens IF,2022,4,21.06,1.66,30.3,4.95%,48.96%
https://www.eliteprospects.com/player/525660/ville-koivunenVille Koivunen2022,Ville Koivunen,Carolina Hurricanes,F,liiga,Karpat,2022,1,18.26,6.27,19.8,4.81%,50.54%
https://www.eliteprospects.com/player/538042/alexander-perevalovAlex Perevalov2022,Alex Perevalov,Unsigned,F,"khl, mhl","Lokomotiv Yaroslavl, totals",2022,0,17.42,4.21,12.24,4.69%,26.95%
https://www.eliteprospects.com/player/349467/philip-brobergPhilip Broberg2022,Philip Broberg,Edmonton Oilers,D,"ahl, nhl","Bakersfield Condors, Edmonton Oilers",2022,3,20.22,2.59,18.16,4.68%,58.98%
https://www.eliteprospects.com/player/511993/ryan-ufkoRyan Ufko2022,Ryan Ufko,Nashville Predators,D,ncaa,UMass,2022,1,18.36,2.46,13.31,4.68%,62.21%
https://www.eliteprospects.com/player/394716/emil-andraeEmil Andrae2022,Emil Andrae,Philadelphia Flyers,D,allsvenskan,HV71,2022,2,19.56,2.4,23.19,4.66%,44.16%
https://www.eliteprospects.com/player/372919/lassi-thomsonLassi Thomson2022,Lassi Thomson,Ottawa Senators,D,"ahl, nhl","Belleville Senators, Ottawa Senators",2022,3,20.98,3.7,20.67,4.64%,50.40%
https://www.eliteprospects.com/player/708568/yegor-gribkovYegor Gribkov2022,Yegor Gribkov,Unsigned,D,erste-liga,Fehervari Titanok,2022,0,17.37,0.95,8.44,4.64%,26.44%
https://www.eliteprospects.com/player/395069/anttoni-honkaAnttoni Honka2022,Anttoni Honka,Carolina Hurricanes,D,liiga,JYP,2022,3,20.94,8.72,23.49,4.60%,82.86%
https://www.eliteprospects.com/player/201925/carter-savoieCarter Savoie2022,Carter Savoie,Edmonton Oilers,F,ncaa,Univ. of Denver,2022,2,19.64,6.45,18.33,4.50%,15.87%
https://www.eliteprospects.com/player/265290/olle-lycksellOlle Lycksell2022,Olle Lycksell,Philadelphia Flyers,F,shl,Vaxjo Lakers HC,2022,5,22.06,2.77,33.56,4.50%,24.67%
https://www.eliteprospects.com/player/565465/jagger-firkusJagger Firkus2022,Jagger Firkus,Unsigned,F,whl,Moose Jaw Warriors,2022,0,17.38,7.05,14.04,4.43%,22.36%
https://www.eliteprospects.com/player/623832/jimmy-snuggerudJimmy Snuggerud2022,Jimmy Snuggerud,Unsigned,F,"ushl, usdp, wjc-18","USNTDP Juniors, U.S. National U18 Team, USA U18",2022,0,17.29,6.53,11.1,4.42%,30.67%
https://www.eliteprospects.com/player/288459/samuel-fagemoSamuel Fagemo2022,Samuel Fagemo,Los Angeles Kings,F,ahl,Ontario Reign,2022,4,21.51,2.78,22.3,4.33%,47.62%
https://www.eliteprospects.com/player/529393/zachary-bolducZachary Bolduc2022,Zachary Bolduc,St. Louis Blues,F,qmjhl,Quebec Remparts,2022,1,18.56,8.72,14.05,4.29%,21.38%
https://www.eliteprospects.com/player/201839/ryder-korczakRyder Korczak2022,Ryder Korczak,New York Rangers,F,whl,Moose Jaw Warriors,2022,1,18.98,12.52,13.46,4.23%,9.99%
https://www.eliteprospects.com/player/413015/jake-sandersonJake Sanderson2022,Jake Sanderson,Ottawa Senators,D,ncaa,Univ. of North Dakota,2022,2,19.19,4.87,17.96,4.22%,74.86%
https://www.eliteprospects.com/player/512924/daniil-gushchinDaniil Gushchin2022,Daniil Gushchin,San Jose Sharks,F,ohl,Niagara IceDogs,2022,2,19.61,7.67,16.45,4.22%,21.21%
https://www.eliteprospects.com/player/470025/matthew-samoskevichMatthew Samoskevich2022,Matthew Samoskevich,Unsigned,F,ncaa,Univ. of Michigan,2022,1,18.83,8.49,11.52,4.19%,10.81%
https://www.eliteprospects.com/player/448946/roni-hirvonenRoni Hirvonen2022,Roni Hirvonen,Toronto Maple Leafs,F,liiga,HIFK,2022,2,19.68,7.5,20.45,4.14%,19.17%
https://www.eliteprospects.com/player/201803/ben-kingBen King2022,Ben King,Unsigned,F,whl,Red Deer Rebels,2022,2,19.34,6.27,17.89,4.07%,52.37%
