Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/552039/ilya-v.-andreyevIlya V. Andreyev2022,Ilya V. Andreyev,Unsigned,D,mhl,SKA-1946 St. Petersburg,2022,2,19.49,2.02,1.18,0.11%,0.68%
https://www.eliteprospects.com/player/515109/elias-bjorklundElias Bjorklund2022,Elias Bjorklund,Unsigned,D,j20-elit,Valbo HC J20,2022,2,19.42,0.35,0.87,0.11%,0.04%
https://www.eliteprospects.com/player/351348/mathew-shatskyMathew Shatsky2022,Mathew Shatsky,Unsigned,D,ncaa,College of the Holy Cross,2022,3,20.38,0.72,1.87,0.11%,0.12%
https://www.eliteprospects.com/player/317973/jeremy-minderJeremy Minder2022,Jeremy Minder,Unsigned,D,nlb,EHC Winterthur,2022,4,21.33,0.29,1.87,0.11%,0.09%
https://www.eliteprospects.com/player/637877/frankie-jirakFrankie Jirak2022,Frankie Jirak,Unsigned,F,usphl-premier,Philadelphia Hockey Club,2022,2,19.03,0.57,4.26,0.11%,0.37%
https://www.eliteprospects.com/player/558794/gabe-ludwigGabe Ludwig2022,Gabe Ludwig,Unsigned,F,whl,Seattle Thunderbirds,2022,0,17.54,3.02,2.74,0.11%,0.21%
https://www.eliteprospects.com/player/571897/jeremiah-slavinJeremiah Slavin2022,Jeremiah Slavin,Unsigned,D,ushl,Muskegon Lumberjacks,2022,0,17.09,,0.56,0.11%,0.49%
https://www.eliteprospects.com/player/637579/felix-langerFelix Langer2022,Felix Langer,Unsigned,F,"j18-elit, j20-elit","Ostersunds IK J18, Ostersunds IK J20",2022,0,17.12,2.01,1.39,0.11%,0.39%
https://www.eliteprospects.com/player/638478/owen-hardyOwen Hardy2022,Owen Hardy,Unsigned,F,"ushs-prep, mphl","Lake Forest Academy, Lake Forest Academy",2022,0,17.97,,2.98,0.11%,0.16%
https://www.eliteprospects.com/player/365051/joey-musaJoey Musa2022,Joey Musa,Unsigned,F,ncaa,Dartmouth College,2022,4,21.26,1.86,6.15,0.11%,0.09%
https://www.eliteprospects.com/player/477330/skyler-cameronSkyler Cameron2022,Skyler Cameron,Unsigned,D,bchl,Nanaimo Clippers,2022,2,19.64,,1.46,0.11%,0.45%
https://www.eliteprospects.com/player/416996/braden-fischerBraden Fischer2022,Braden Fischer,Unsigned,F,mjhl,Virden Oil Capitals,2022,1,18.95,2.94,5.39,0.11%,0.23%
https://www.eliteprospects.com/player/412227/viggo-meeritsViggo Meerits2022,Viggo Meerits,Unsigned,D,j20-div.1,Avesta BK J20,2022,3,20.36,0.21,1.14,0.11%,0.01%
https://www.eliteprospects.com/player/351948/zach-mcintyreZach Mcintyre2022,Zach Mcintyre,Unsigned,F,sjhl,totals,2022,3,20.47,0.85,3.6,0.11%,0.15%
